,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id,sample_id,frequency,temperature,temperature_units,data_source,real_spectrum_relative_path,multiplet_id1,multiplet_id2,spectrum_id,j
CP:3088.5,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.2,MT:3088.3,SP:3088,-12.5
CP:3088.6,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.2,MT:3088.4,SP:3088,7.3318345
CP:3088.7,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.2,MT:3088.5,SP:3088,7.3318345
CP:3088.8,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.3,MT:3088.4,SP:3088,7.3318345
CP:3088.9,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.3,MT:3088.5,SP:3088,7.3318345
CP:3088.10,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.4,MT:3088.5,SP:3088,-13.2028589
CP:3088.11,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.4,MT:3088.6,SP:3088,8.6724882
CP:3088.12,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.5,MT:3088.6,SP:3088,6.8057628
CP:3088.13,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.7,MT:3088.8,SP:3088,7.992496
CP:3088.14,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.7,MT:3088.9,SP:3088,2.0
CP:3088.15,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.8,MT:3088.9,SP:3088,7.992496
CP:3088.16,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.8,MT:3088.10,SP:3088,2.0
CP:3088.17,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.9,MT:3088.10,SP:3088,7.992496
CP:3088.18,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.9,MT:3088.11,SP:3088,2.0
CP:3088.19,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.10,MT:3088.11,SP:3088,7.992496
CP:3089.1,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.1,MT:3089.2,SP:3089,-13.4605379
CP:3089.2,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.1,MT:3089.3,SP:3089,11.4958827
CP:3089.3,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.1,MT:3089.4,SP:3089,9.1508327
CP:3089.4,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.1,MT:3089.5,SP:3089,6.1826601
CP:3089.5,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.1,MT:3089.6,SP:3089,3.7522144
CP:3089.6,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.2,MT:3089.3,SP:3089,1.8643434
CP:3089.7,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.2,MT:3089.4,SP:3089,10.2382498
CP:3089.8,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.2,MT:3089.5,SP:3089,16.1162499
CP:3089.9,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.2,MT:3089.6,SP:3089,6.1982063
CP:3089.10,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.3,MT:3089.4,SP:3089,-7.640901
CP:3089.11,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.5,MT:3089.6,SP:3089,-12.276968
CP:3089.12,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.7,MT:3089.8,SP:3089,-12.143089
CP:3089.13,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.7,MT:3089.9,SP:3089,1.3575236
CP:3089.14,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.7,MT:3089.10,SP:3089,0.2915846
CP:3089.15,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.7,MT:3089.11,SP:3089,4.1505969
CP:3089.16,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.8,MT:3089.9,SP:3089,1.477272
CP:3089.17,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.8,MT:3089.10,SP:3089,1.8500178
CP:3089.18,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.8,MT:3089.11,SP:3089,12.3162865
CP:3089.19,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.9,MT:3089.10,SP:3089,-13.5227953
CP:3089.20,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.9,MT:3089.11,SP:3089,4.049821
CP:3089.21,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603,SA:3089,400.13,,,xml,,MT:3089.10,MT:3089.11,SP:3089,10.8757789
CP:3090.1,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.1,MT:3090.2,SP:3090,-14.899999
CP:3090.2,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.1,MT:3090.3,SP:3090,-14.899999
CP:3090.3,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.2,MT:3090.3,SP:3090,-14.899999
CP:3090.4,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.4,MT:3090.5,SP:3090,4.9821388
CP:3090.5,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.4,MT:3090.6,SP:3090,7.7631871
CP:3090.6,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.5,MT:3090.6,SP:3090,-12.6155469
CP:3090.7,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.5,MT:3090.7,SP:3090,8.7897153
CP:3090.8,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.5,MT:3090.8,SP:3090,8.7897153
CP:3090.9,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.6,MT:3090.7,SP:3090,8.7897153
CP:3090.10,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.6,MT:3090.8,SP:3090,8.7897153
CP:3090.11,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.7,MT:3090.8,SP:3090,-12.4
CP:3090.12,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.7,MT:3090.9,SP:3090,7.0886864
CP:3090.13,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.7,MT:3090.10,SP:3090,7.0886864
CP:3090.14,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.8,MT:3090.9,SP:3090,7.0886864
CP:3090.15,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.8,MT:3090.10,SP:3090,7.0886864
CP:3090.16,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.9,MT:3090.10,SP:3090,-10.7799672
CP:3090.17,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.9,MT:3090.11,SP:3090,7.6495375
CP:3090.18,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.9,MT:3090.12,SP:3090,7.6495375
CP:3090.19,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.10,MT:3090.11,SP:3090,7.6495375
CP:3090.20,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.10,MT:3090.12,SP:3090,7.6495375
CP:3090.21,SU:234,,,,,,,bmse000830,GISSMO,bmse000830,SA:3090,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000830/nmr/set01/1H'],MT:3090.11,MT:3090.12,SP:3090,-14.4896517
CP:3091.1,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.1,MT:3091.2,SP:3091,-14.4226199
CP:3091.2,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.1,MT:3091.3,SP:3091,3.7063081
CP:3091.3,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.1,MT:3091.5,SP:3091,6.5491294
CP:3091.4,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.2,MT:3091.3,SP:3091,6.2863425
CP:3091.5,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.2,MT:3091.5,SP:3091,6.8234647
CP:3091.6,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.3,MT:3091.4,SP:3091,3.0550949
CP:3091.7,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.4,MT:3091.7,SP:3091,4.9970703
CP:3091.8,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.4,MT:3091.8,SP:3091,4.9970703
CP:3091.9,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.7,MT:3091.8,SP:3091,-12.4
CP:3091.10,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.7,MT:3091.9,SP:3091,4.192
CP:3091.11,SU:487,,,,,,,bmse000824,GISSMO,bmse000824,SA:3091,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H.5_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_2_alt_pH', 'BMRB/bmrb_metabolomics/bmse000824/nmr/set01/1H_alt_pH']",MT:3091.8,MT:3091.9,SP:3091,4.192
CP:3092.1,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.1,MT:3092.2,SP:3092,-11.6011973
CP:3092.2,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.1,MT:3092.3,SP:3092,11.004699
CP:3092.3,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.1,MT:3092.4,SP:3092,4.8579526
CP:3092.4,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.1,MT:3092.5,SP:3092,10.0218288
CP:3092.5,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.1,MT:3092.6,SP:3092,4.7345666
CP:3092.6,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.2,MT:3092.3,SP:3092,5.6378995
CP:3092.7,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.2,MT:3092.4,SP:3092,11.4204898
CP:3092.8,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.2,MT:3092.5,SP:3092,5.1491199
CP:3092.9,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.2,MT:3092.6,SP:3092,9.5466871
CP:3092.10,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.3,MT:3092.4,SP:3092,-12.9129351
CP:3092.11,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.3,MT:3092.7,SP:3092,4.987
CP:3092.12,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.4,MT:3092.7,SP:3092,7.428
CP:3092.13,SU:261,,,,,,,bmse000429,GISSMO,bmse000429,SA:3092,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000429/nmr/set01/1'],MT:3092.5,MT:3092.6,SP:3092,-24.9167443
CP:3093.1,SU:1189,,,,,,,bmse000415,GISSMO,bmse000415,SA:3093,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000415/nmr/set01/1H'],MT:3093.1,MT:3093.2,SP:3093,8.1541094
CP:3093.2,SU:1189,,,,,,,bmse000415,GISSMO,bmse000415,SA:3093,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000415/nmr/set01/1H'],MT:3093.1,MT:3093.3,SP:3093,8.1541094
CP:3093.3,SU:1189,,,,,,,bmse000415,GISSMO,bmse000415,SA:3093,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000415/nmr/set01/1H'],MT:3093.2,MT:3093.4,SP:3093,2.4022324
CP:3093.4,SU:1189,,,,,,,bmse000415,GISSMO,bmse000415,SA:3093,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000415/nmr/set01/1H'],MT:3093.3,MT:3093.4,SP:3093,2.4022324
CP:3094.1,SU:353,,,,,,,bmse000373,GISSMO,bmse000373,SA:3094,400.13,,,xml,['BMRB/bmrb_metabolomics/bmse000373/nmr/set01/1H'],MT:3094.1,MT:3094.2,SP:3094,-12.5
CP:3094.2,SU:353,,,,,,,bmse000373,GISSMO,bmse000373,SA:3094,400.13,,,xml,['BMRB/bmrb_metabolomics/bmse000373/nmr/set01/1H'],MT:3094.1,MT:3094.3,SP:3094,-12.5
CP:3094.3,SU:353,,,,,,,bmse000373,GISSMO,bmse000373,SA:3094,400.13,,,xml,['BMRB/bmrb_metabolomics/bmse000373/nmr/set01/1H'],MT:3094.1,MT:3094.4,SP:3094,6.6570086
CP:3094.4,SU:353,,,,,,,bmse000373,GISSMO,bmse000373,SA:3094,400.13,,,xml,['BMRB/bmrb_metabolomics/bmse000373/nmr/set01/1H'],MT:3094.2,MT:3094.3,SP:3094,-12.5
CP:3094.5,SU:353,,,,,,,bmse000373,GISSMO,bmse000373,SA:3094,400.13,,,xml,['BMRB/bmrb_metabolomics/bmse000373/nmr/set01/1H'],MT:3094.2,MT:3094.4,SP:3094,6.6570086
CP:3094.6,SU:353,,,,,,,bmse000373,GISSMO,bmse000373,SA:3094,400.13,,,xml,['BMRB/bmrb_metabolomics/bmse000373/nmr/set01/1H'],MT:3094.3,MT:3094.4,SP:3094,6.6570086
CP:3094.7,SU:353,,,,,,,bmse000373,GISSMO,bmse000373,SA:3094,400.13,,,xml,['BMRB/bmrb_metabolomics/bmse000373/nmr/set01/1H'],MT:3094.4,MT:3094.5,SP:3094,6.6570086
CP:3094.8,SU:353,,,,,,,bmse000373,GISSMO,bmse000373,SA:3094,400.13,,,xml,['BMRB/bmrb_metabolomics/bmse000373/nmr/set01/1H'],MT:3094.4,MT:3094.6,SP:3094,6.6570086
