,version,creation_date,update_date,accession,status,name,description,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey,state,chemspider_id,drugbank_id,foodb_id,pubchem_compound_id,pdb_id,chebi_id,phenol_explorer_compound_id,knapsack_id,kegg_id,biocyc_id,bigg_id,wikipedia_id,metlin_id,vmh_id,fbonto_id,synthesis_reference,hmdb_accession
SU:72,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:41:40 UTC,HMDB0000125,quantified,Glutathione,"Glutathione is a compound synthesized from cysteine, perhaps the most important member of the body's toxic waste disposal team. Like cysteine, glutathione contains the crucial thiol (-SH) group that makes it an effective antioxidant. There are virtually no living organisms on this planet-animal or plant whose cells don't contain some glutathione. Scientists have speculated that glutathione was essential to the very development of life on earth. glutathione has many roles; in none does it act alone. It is a coenzyme in various enzymatic reactions. The most important of these are redox reactions, in which the thiol grouping on the cysteine portion of cell membranes protects against peroxidation; and conjugation reactions, in which glutathione (especially in the liver) binds with toxic chemicals in order to detoxify them. glutathione is also important in red and white blood cell formation and throughout the immune system. glutathione's clinical uses include the prevention of oxygen toxicity in hyperbaric oxygen therapy, treatment of lead and other heavy metal poisoning, lowering of the toxicity of chemotherapy and radiation in cancer treatments, and reversal of cataracts. (http://www.dcnutrition.com/AminoAcids/) glutathione participates in leukotriene synthesis and is a cofactor for the enzyme glutathione peroxidase. It is also important as a hydrophilic molecule that is added to lipophilic toxins and waste in the liver during biotransformation before they can become part of the bile. glutathione is also needed for the detoxification of methylglyoxal, a toxin produced as a by-product of metabolism. This detoxification reaction is carried out by the glyoxalase system. Glyoxalase I (EC 4.4.1.5) catalyzes the conversion of methylglyoxal and reduced glutathione to S-D-Lactoyl-glutathione. Glyoxalase II (EC 3.1.2.6) catalyzes the hydrolysis of S-D-Lactoyl-glutathione to glutathione and D-lactate. GSH is known as a substrate in both conjugation reactions and reduction reactions, catalyzed by glutathione S-transferase enzymes in cytosol, microsomes, and mitochondria. However, it is also capable of participating in non-enzymatic conjugation with some chemicals, as in the case of n-acetyl-p-benzoquinone imine (NAPQI), the reactive cytochrome P450-reactive metabolite formed by acetaminophen, that becomes toxic when GSH is depleted by an overdose (of acetaminophen). glutathione in this capacity binds to NAPQI as a suicide substrate and in the process detoxifies it, taking the place of cellular protein thiol groups which would otherwise be covalently modified; when all GSH has been spent, NAPQI begins to react with the cellular proteins, killing the cells in the process. The preferred treatment for an overdose of this painkiller is the administration (usually in atomized form) of N-acetylcysteine, which is used by cells to replace spent GSSG and renew the usable GSH pool. (http://en.wikipedia.org/wiki/glutathione).",C10H17N3O6S,307.323,307.083805981,(2S)-2-amino-4-{[(1R)-1-[(carboxymethyl)carbamoyl]-2-sulfanylethyl]carbamoyl}butanoic acid,glutathione,70-18-8,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1",RWSXRVCMGQZWBV-WDSKDSINSA-N,Solid,111188.0,DB00143,FDB001498,124886.0,,16856.0,,C00001518,C00051,GLUTATHIONE,33669.0,Glutathione,44.0,GTHRD,,,HMDB0000125
SU:72,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:41:40 UTC,HMDB0000125,quantified,Glutathione,"Glutathione is a compound synthesized from cysteine, perhaps the most important member of the body's toxic waste disposal team. Like cysteine, glutathione contains the crucial thiol (-SH) group that makes it an effective antioxidant. There are virtually no living organisms on this planet-animal or plant whose cells don't contain some glutathione. Scientists have speculated that glutathione was essential to the very development of life on earth. glutathione has many roles; in none does it act alone. It is a coenzyme in various enzymatic reactions. The most important of these are redox reactions, in which the thiol grouping on the cysteine portion of cell membranes protects against peroxidation; and conjugation reactions, in which glutathione (especially in the liver) binds with toxic chemicals in order to detoxify them. glutathione is also important in red and white blood cell formation and throughout the immune system. glutathione's clinical uses include the prevention of oxygen toxicity in hyperbaric oxygen therapy, treatment of lead and other heavy metal poisoning, lowering of the toxicity of chemotherapy and radiation in cancer treatments, and reversal of cataracts. (http://www.dcnutrition.com/AminoAcids/) glutathione participates in leukotriene synthesis and is a cofactor for the enzyme glutathione peroxidase. It is also important as a hydrophilic molecule that is added to lipophilic toxins and waste in the liver during biotransformation before they can become part of the bile. glutathione is also needed for the detoxification of methylglyoxal, a toxin produced as a by-product of metabolism. This detoxification reaction is carried out by the glyoxalase system. Glyoxalase I (EC 4.4.1.5) catalyzes the conversion of methylglyoxal and reduced glutathione to S-D-Lactoyl-glutathione. Glyoxalase II (EC 3.1.2.6) catalyzes the hydrolysis of S-D-Lactoyl-glutathione to glutathione and D-lactate. GSH is known as a substrate in both conjugation reactions and reduction reactions, catalyzed by glutathione S-transferase enzymes in cytosol, microsomes, and mitochondria. However, it is also capable of participating in non-enzymatic conjugation with some chemicals, as in the case of n-acetyl-p-benzoquinone imine (NAPQI), the reactive cytochrome P450-reactive metabolite formed by acetaminophen, that becomes toxic when GSH is depleted by an overdose (of acetaminophen). glutathione in this capacity binds to NAPQI as a suicide substrate and in the process detoxifies it, taking the place of cellular protein thiol groups which would otherwise be covalently modified; when all GSH has been spent, NAPQI begins to react with the cellular proteins, killing the cells in the process. The preferred treatment for an overdose of this painkiller is the administration (usually in atomized form) of N-acetylcysteine, which is used by cells to replace spent GSSG and renew the usable GSH pool. (http://en.wikipedia.org/wiki/glutathione).",C10H17N3O6S,307.323,307.083805981,(2S)-2-amino-4-{[(1R)-1-[(carboxymethyl)carbamoyl]-2-sulfanylethyl]carbamoyl}butanoic acid,glutathione,70-18-8,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1",RWSXRVCMGQZWBV-WDSKDSINSA-N,Solid,111188.0,DB00143,FDB001498,124886.0,,16856.0,,C00001518,C00051,GLUTATHIONE,33669.0,Glutathione,44.0,GTHRD,,,HMDB0000125
SU:75,5.0,2005-11-16 15:48:42 UTC,2021-09-07 16:24:04 UTC,HMDB0000128,quantified,Guanidoacetic acid,"Guanidoacetic acid (GAA), also known as guanidinoacetate or glycocyamine, belongs to the class of organic compounds known as alpha amino acids and derivatives. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof. Guanidinoacetic acid was first prepared in 1861 by Adolph Strecker by reaction of cyanamide with glycine in aqueous solution. Manufactured guanidinoacetic acid is primarily used a feed additive approved by EFSA in poultry farming (for fattening), and pigs for fattening. Guanidoacetic acid exists naturally in all vertebrates. It is formed primarily in the kidneys by transferring the guanidine group of L-arginine to the amino acid glycine via the enzyme known as L-Arg:Gly-amidinotransferase (AGAT). In a further step, guanidinoacetate is methylated to generate creatine using S-adenosyl methionine (as the methyl donor) via the enzyme known as guanidinoacetate N-methyltransferase (GAMT). The resulting creatine is released into the bloodstream. Elevated levels of guanidoacetic acid are a characteristic of an inborn metabolic disorder known as Guanidinoacetate Methyltransferase (GAMT) Deficiency. GAMT converts guanidinoacetate to creatine and deficiency of this enzyme results in creatine depletion and accumulation of guanidinoacetate The disorder is transmitted in an autosomal recessive fashion and is localized to mutations on chromosome 19p13.3. GAMT deficiency is characterized by developmental arrest, medication-resistant epilepsy (myoclonic, generalized tonic-clonic, partial complex, atonic), severe speech impairment, progressive dystonia, dyskinesias, hypotonia, ataxia, and autistic-like behavior. ",C3H7N3O2,117.1066,117.053826483,2-carbamimidamidoacetic acid,glycocyamine,352-97-6,NC(=N)NCC(O)=O,"InChI=1S/C3H7N3O2/c4-3(5)6-1-2(7)8/h1H2,(H,7,8)(H4,4,5,6)",BPMFZUMJYQTVII-UHFFFAOYSA-N,Solid,743.0,DB02751,FDB005417,763.0,,16344.0,,,C00581,GUANIDOACETIC_ACID,1594816.0,Glycocyamine,5163.0,GUDAC,,"Thalhammer, Franz; Gastner, Thomas.  Preparation of creatine, creatine monohydrate and guanidinoacetic acid. Ger. Offen.  (2007),  5pp.",HMDB0000128
SU:76,5.0,2005-11-16 15:48:42 UTC,2020-11-09 23:12:16 UTC,HMDB0000130,quantified,Homogentisic acid,"Homogentisic acid, also known as melanic acid, is an intermediate in the breakdown or catabolism of tyrosine and phenylalanine. It is generated from the compound p-hydroxyphenylpyruvate through the enzyme p-hydroxyphenylpyruvate dehydrogenase. The resulting homogentisic acid is then broken down into 4-maleylacetoacetate via the enzyme homogentisate 1,2-dioxygenase. Homogentisic acid is also found in other organisms. For instance, it can found in Arbutus unedo (strawberry-tree) honey, in the bacterial plant pathogen Xanthomonas campestris as well as in the yeast Yarrowia lipolytica where it is associated with the production of brown pigments. Homogentisic acid can be oxidatively dimerized to form hipposudoric acid, one of the main constituents of the 'blood sweat' of hippopotamuses. When present in sufficiently high levels, homogentisic acid can function as an osteotoxin and a renal toxin. An osteotoxin is a substance that causes damage to bones and/or joints. A renal toxin causes damage to the kidneys. Chronically high levels of homogentisic acid are associated with alkaptonuria (OMIM: 203500), an inborn error of metabolism. Alkaptonuria is a rare inherited genetic disorder in which the body cannot process the amino acids phenylalanine and tyrosine. It is caused by a mutation in the enzyme homogentisate 1,2-dioxygenase (EC 1.13.11.5), which leads to an accumulation of homogentisic acid in the blood and tissues. Homogentisic acid and its oxidized form benzoquinone acetic acid are excreted in the urine, giving it an unusually dark color. The accumulating homogentisic acid (and benzoquinone acetic acid) causes damage to cartilage (ochronosis, leading to osteoarthritis) and heart valves as well as precipitating as kidney stones and stones in other organs. More specifically, homogentisic acid can be converted to benzoquinone acetic acid (BQA), and the resulting BQA can be readily converted to polymers that resemble the dark skin pigment melanin. These polymers are deposited in the collagen, a connective tissue protein, of particular tissues such as cartilage. This process is called ochronosis (as the tissue looks ochre); ochronotic tissue is stiffened and unusually brittle, impairing its normal function and causing damage. Homogentisic acid is the primary precursor of melanin synthesis in Vibrio cholerae.",C8H8O4,168.1467,168.042258744,"2-(2,5-dihydroxyphenyl)acetic acid",homogentisic acid,451-13-8,OC(=O)CC1=C(O)C=CC(O)=C1,"InChI=1S/C8H8O4/c9-6-1-2-7(10)5(3-6)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",IGMNYECMUMZDDF-UHFFFAOYSA-N,Solid,759.0,DB08327,FDB030907,780.0,,44747.0,,C00007309,C00544,HOMOGENTISATE,1485308.0,Homogentisic_acid,331.0,HGENTIS,,,HMDB0000130
SU:77,5.0,2005-11-16 15:48:42 UTC,2020-11-09 23:12:17 UTC,HMDB0000131,quantified,Glycerol,"Glycerol or glycerin is a colourless, odourless, viscous liquid that is sweet-tasting and mostly non-toxic. It is widely used in the food industry as a sweetener and humectant and in pharmaceutical formulations. Glycerol is an important component of triglycerides (i.e. fats and oils) and of phospholipids. Glycerol is a three-carbon substance that forms the backbone of fatty acids in fats. When the body uses stored fat as a source of energy, glycerol and fatty acids are released into the bloodstream. The glycerol component can be converted into glucose by the liver and provides energy for cellular metabolism. Normally, glycerol shows very little acute toxicity and very high oral doses or acute exposures can be tolerated. On the other hand, chronically high levels of glycerol in the blood are associated with glycerol kinase deficiency (GKD). GKD causes the condition known as hyperglycerolemia, an accumulation of glycerol in the blood and urine. There are three clinically distinct forms of GKD: infantile, juvenile, and adult. The infantile form is the most severe and is associated with vomiting, lethargy, severe developmental delay, and adrenal insufficiency. The mechanisms of glycerol toxicity in infants are not known, but it appears to shift metabolism towards chronic acidosis. Acidosis typically occurs when arterial pH falls below 7.35. In infants with acidosis, the initial symptoms include poor feeding, vomiting, loss of appetite, weak muscle tone (hypotonia), and lack of energy (lethargy). These can progress to heart, liver, and kidney abnormalities, seizures, coma, and possibly death. These are also the characteristic symptoms of untreated GKD. Many affected children with organic acidemias experience intellectual disability or delayed development. Patients with the adult form of GKD generally have no symptoms and are often detected fortuitously.",C3H8O3,92.0938,92.047344122,"propane-1,2,3-triol",glycerol,56-81-5,OCC(O)CO,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",PEDCQBHIVMGVHV-UHFFFAOYSA-N,Liquid,,DB09462,FDB000756,753.0,,17754.0,,C00001163,C00116,GLYCEROL,,Glycerol,,GLYC,,"Yang, Yifang.  Purification of glycerol.  Faming Zhuanli Shenqing Gongkai Shuomingshu  (2007), 3pp. ",HMDB0000131
SU:77,5.0,2005-11-16 15:48:42 UTC,2020-11-09 23:12:17 UTC,HMDB0000131,quantified,Glycerol,"Glycerol or glycerin is a colourless, odourless, viscous liquid that is sweet-tasting and mostly non-toxic. It is widely used in the food industry as a sweetener and humectant and in pharmaceutical formulations. Glycerol is an important component of triglycerides (i.e. fats and oils) and of phospholipids. Glycerol is a three-carbon substance that forms the backbone of fatty acids in fats. When the body uses stored fat as a source of energy, glycerol and fatty acids are released into the bloodstream. The glycerol component can be converted into glucose by the liver and provides energy for cellular metabolism. Normally, glycerol shows very little acute toxicity and very high oral doses or acute exposures can be tolerated. On the other hand, chronically high levels of glycerol in the blood are associated with glycerol kinase deficiency (GKD). GKD causes the condition known as hyperglycerolemia, an accumulation of glycerol in the blood and urine. There are three clinically distinct forms of GKD: infantile, juvenile, and adult. The infantile form is the most severe and is associated with vomiting, lethargy, severe developmental delay, and adrenal insufficiency. The mechanisms of glycerol toxicity in infants are not known, but it appears to shift metabolism towards chronic acidosis. Acidosis typically occurs when arterial pH falls below 7.35. In infants with acidosis, the initial symptoms include poor feeding, vomiting, loss of appetite, weak muscle tone (hypotonia), and lack of energy (lethargy). These can progress to heart, liver, and kidney abnormalities, seizures, coma, and possibly death. These are also the characteristic symptoms of untreated GKD. Many affected children with organic acidemias experience intellectual disability or delayed development. Patients with the adult form of GKD generally have no symptoms and are often detected fortuitously.",C3H8O3,92.0938,92.047344122,"propane-1,2,3-triol",glycerol,56-81-5,OCC(O)CO,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",PEDCQBHIVMGVHV-UHFFFAOYSA-N,Liquid,,DB09462,FDB000756,753.0,,17754.0,,C00001163,C00116,GLYCEROL,,Glycerol,,GLYC,,"Yang, Yifang.  Purification of glycerol.  Faming Zhuanli Shenqing Gongkai Shuomingshu  (2007), 3pp. ",HMDB0000131
SU:78,5.0,2005-11-16 15:48:42 UTC,2020-11-09 23:12:18 UTC,HMDB0000132,quantified,Guanine,"Guanine is one of the five main nucleobases found in the nucleic acids DNA and RNA. Guanine is a derivative of purine, consisting of a fused pyrimidine-imidazole ring system with conjugated double bonds. Being unsaturated, the bicyclic molecule is planar. The guanine nucleoside is called guanosine. The first isolation of guanine was reported in 1844 from the excreta of sea birds, known as guano, which was used as a source of fertilizer. High affinity binding of guanine nucleotides and the ability to hydrolyze bound GTP to GDP are characteristics of an extended family of intracellular proteins. Guanine nucleotide-binding regulatory proteins may be involved in the activation of phospholipases C and A2 by hormones and other ligands. The binding of hormones to receptors that activate phospholipase C is decreased by guanine nucleotides and these hormones also stimulate a high-affinity GTPase activity in cell membranes. Effects of hormones on phospholipase C activity in cell-free preparations are dependent on the presence of guanine nucleotides. Hypoxanthine-guanine phosphoribosyltransferase (HPRT, EC 2.4.2.8) is a purine salvage enzyme that catalyses the conversion of hypoxanthine and guanine to their respective mononucleotides. Partial deficiency of this enzyme can result in the overproduction of uric acid leading to a severe form of gout, whilst a virtual absence of HPRT activity causes the Lesch-Nyhan syndrome, an inborn error of metabolism, which is characterised by hyperuricaemia, mental retardation, choreoathetosis and compulsive self-mutilation. Peroxynitrite induces DNA base damage predominantly at guanine (G) and 8-oxoguanine (8-oxoG) nucleobases via oxidation reactions. G and 8-oxoG are the most reactive bases toward Peroxynitrite and possibly the major contributors to peroxynitrite-derived genotoxic and mutagenic lesions. The neutral G radical, reacts with NO2 to yield 8-nitroguanine and 5-nitro-4-guanidinohydantoin (PMID: 16352449, 2435586, 2838362, 1487231).",C5H5N5O,151.1261,151.049409807,"2-amino-6,7-dihydro-3H-purin-6-one",2-aminohypoxanthine,73-40-5,NC1=NC(=O)C2=C(N1)N=CN2,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",UYTPUPDQBNUYGX-UHFFFAOYSA-N,Solid,744.0,DB02377,FDB004222,764.0,,16235.0,,C00001501,C00242,GUANINE,34363.0,Guanine,315.0,GUA,,"Xiao, Xuhua; Ma, Weiyong.  One-pot synthesis of guanine.    Faming Zhuanli Shenqing Gongkai Shuomingshu  (2007),     10pp.",HMDB0000132
SU:79,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:48:15 UTC,HMDB0000133,quantified,Guanosine,"Guanosine (G), also known as 2-amino-inosine, belongs to the class of organic compounds known as purine nucleosides. Purine nucleosides are compounds comprising a purine base attached to a ribosyl or deoxyribosyl sugar moiety. Guanosine consists of a guanine base attached to a ribose (ribofuranose) ring via a beta-N9-glycosidic bond. Guanosine is a white, crystalline powder with no odor and mild saline taste. It is very soluble in acetic acid, and slightly soluble in water, but insoluble in ethanol, diethyl ether, benzene, and chloroform. Guanosine exists in all living species, ranging from bacteria to plants to humans. High levels of guanosine can be found in clovers, coffee plants, and the pollen of pines. It has been detected, but not quantified in, several different foods, such as leeks, garlic, chicory roots, green bell peppers, and black-eyed peas. Guanosine plays an important role in various biochemical processes including the synthesis of nucleic acids such as RNA and intracellular signal transduction (cGMP). The antiviral drug acyclovir, often used in herpes treatment, and the anti-HIV drug abacavir, are both structurally similar to guanosine. Guanosine can be phosphorylated to become guanosine monophosphate (GMP), cyclic guanosine monophosphate (cGMP), guanosine diphosphate (GDP), and guanosine triphosphate (GTP). In humans, guanosine is involved in intracellular signalling through the adenosine receptors A1R and A2AR (PMID: 31847113). Evidence from rodent and cell models has shown a number of important neurotrophic and neuroprotective effects of guanosine. In particular, it is effective in preventing deleterious consequences of seizures, spinal cord injury, pain, mood disorders and aging-related diseases, such as ischemia, Parkinson’s and Alzheimer’s diseases (PMID: 27699087). Studies with rodent models of Parkinson’s disease have shown that guanosine decreases neuronal apoptotic cell death and increases dopaminergic neurons at substantia nigra pars compacta, accompanied by an improvement of motor symptoms in Parkinson’s disease (i.e. a reduction of bradykinesia). Guanosine promotes neurite arborization, outgrowth, proliferation and differentiation. Systemic administration of guanosine for eight weeks (8 mg/kg) has been shown to stimulate neuroprogenitors proliferation in the subventricular zone (SVZ) in a mouse model of Parkinsonism (PMID: 27699087). The effect of guanosine treatment is accompanied by an increased number of fibroblast growth factor (FGF-2)-positive cells which is an important regulator of neuroprogenitor/stem cell proliferation, survival and differentiation (PMID: 27699087). Guanosine prevents reactive oxygen species (ROS) generation and cell death in hippocampal slices subjected to the oxygen/glucose deprivation (PMID: 31847113).",C10H13N5O5,283.2407,283.091668551,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-6,9-dihydro-1H-purin-6-one",guanosine,118-00-3,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N,Solid,6544.0,DB02857,FDB003632,6802.0,,16750.0,,C00019679,C00387,GUANOSINE,51567.0,Guanosine,87.0,GSN,,"Tang, Shengrong; Huang, Weihong; Hou, Zuorong.  Process of guanosine production by fermentation.    Gongye Weishengwu  (1998),  28(4),  11-16. ",HMDB0000133
SU:80,5.0,2005-11-16 15:48:42 UTC,2020-11-09 23:12:19 UTC,HMDB0000134,quantified,Fumaric acid,"Fumaric acid is a dicarboxylic acid. It is a precursor to L-malate in the Krebs tricarboxylic acid (TCA) cycle. It is formed by the oxidation of succinic acid by succinate dehydrogenase. Fumarate is converted by the enzyme fumarase to malate. Fumaric acid has recently been identified as an oncometabolite or an endogenous, cancer causing metabolite. High levels of this organic acid can be found in tumors or biofluids surrounding tumors. Its oncogenic action appears to due to its ability to inhibit prolyl hydroxylase-containing enzymes. In many tumours, oxygen availability becomes limited (hypoxia) very quickly due to rapid cell proliferation and limited blood vessel growth. The major regulator of the response to hypoxia is the HIF transcription factor (HIF-alpha). Under normal oxygen levels, protein levels of HIF-alpha are very low due to constant degradation, mediated by a series of post-translational modification events catalyzed by the prolyl hydroxylase domain-containing enzymes PHD1, 2 and 3, (also known as EglN2, 1 and 3) that hydroxylate HIF-alpha and lead to its degradation. All three of the PHD enzymes are inhibited by fumarate. Fumaric acid is found to be associated with fumarase deficiency, which is an inborn error of metabolism. It is also a metabolite of Aspergillus.",C4H4O4,116.0722,116.010958616,(2E)-but-2-enedioic acid,fumaric acid,110-17-8,OC(=O)\C=C\C(O)=O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",VZCYOOQTPOCHFL-OWOJBTEDSA-N,Solid,10197150.0,DB01677,FDB003291,444972.0,,18012.0,,C00001183,C00122,FUM,33938.0,Fumaric_Acid,3242.0,FUM,,"Dong, Changsheng; Ma, Xinming.  Method for preparation of fumaric acid from the tail gas acid spray solution from oxidation of phthalic anhydride.    Faming Zhuanli Shenqing Gongkai Shuomingshu  (2007),  5pp. ",HMDB0000134
SU:83,5.0,2005-11-16 15:48:42 UTC,2020-10-09 20:57:56 UTC,HMDB0000142,quantified,Formic acid,"Formic acid is the simplest carboxylic acid. Formate is an intermediate in normal metabolism. It takes part in the metabolism of one-carbon compounds and its carbon may appear in methyl groups undergoing transmethylation. It is eventually oxidized to carbon dioxide. Formate is typically produced as a byproduct in the production of acetate. It is responsible for both metabolic acidosis and disrupting mitochondrial electron transport and energy production by inhibiting cytochrome oxidase activity, the terminal electron acceptor of the electron transport chain. Cell death from cytochrome oxidase inhibition by formate is believed to result partly from depletion of ATP, reducing energy concentrations so that essential cell functions cannot be maintained. Furthermore, inhibition of cytochrome oxidase by formate may also cause cell death by increased production of cytotoxic reactive oxygen species (ROS) secondary to the blockade of the electron transport chain. In nature, formic acid is found in the stings and bites of many insects of the order Hymenoptera, including bees and ants. The principal use of formic acid is as a preservative and antibacterial agent in livestock feed. When sprayed on fresh hay or other silage, it arrests certain decay processes and causes the feed to retain its nutritive value longer. Urinary formate is produced by Escherichia coli, Pseudomonas aeruginosa, Klebsiella pneumonia, Enterobacter, Acinetobacter, Proteus mirabilis, Citrobacter frundii, Enterococcus faecalis, Streptococcus group B, Staphylococcus saprophyticus (PMID: 22292465).",CH2O2,46.0254,46.005479308,formic acid,formic acid,64-18-6,OC=O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N,Liquid,,DB01942,FDB012804,284.0,,30751.0,,C00001182,C00058,FORMATE,,Formic_acid,,FOR,," Finholt, Albert E.; Jacobson, Eugene C. The reduction of carbon dioxide to formic acid with lithium aluminum hydride. Journal of the American Chemical Society (1952), 74 3943-4.",HMDB0000142
SU:86,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:20:01 UTC,HMDB0000148,quantified,L-Glutamic acid,"Glutamic acid (Glu), also known as L-glutamic acid or as glutamate, the name of its anion, is an alpha-amino acid. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).  Amino acids are organic compounds that contain amino (–NH2) and carboxyl (–COOH) functional groups, along with a side chain (R group) specific to each amino acid. L-glutamic acid is one of 20 proteinogenic amino acids, i.e., the amino acids used in the biosynthesis of proteins. Glutamic acid is found in all organisms ranging from bacteria to plants to animals.  It is classified as an acidic, charged (at physiological pH), aliphatic amino acid. In humans it is a non-essential amino acid and can be synthesized via alanine or aspartic acid via alpha-ketoglutarate and the action of various transaminases. Glutamate also plays an important role in the body's disposal of excess or waste nitrogen. Glutamate undergoes deamination, an oxidative reaction catalysed by glutamate dehydrogenase leading to alpha-ketoglutarate. In many respects glutamate is a key molecule in cellular metabolism. Glutamate is the most abundant fast excitatory neurotransmitter in the mammalian nervous system. At chemical synapses, glutamate is stored in vesicles. Nerve impulses trigger release of glutamate from the pre-synaptic cell. In the opposing post-synaptic cell, glutamate receptors, such as the NMDA receptor, bind glutamate and are activated. Because of its role in synaptic plasticity, it is believed that glutamic acid is involved in cognitive functions like learning and memory in the brain. Glutamate transporters are found in neuronal and glial membranes. They rapidly remove glutamate from the extracellular space. In brain injury or disease, they can work in reverse and excess glutamate can accumulate outside cells. This process causes calcium ions to enter cells via NMDA receptor channels, leading to neuronal damage and eventual cell death, and is called excitotoxicity. The mechanisms of cell death include: Damage to mitochondria from excessively high intracellular Ca2+. Glu/Ca2+-mediated promotion of transcription factors for pro-apoptotic genes, or downregulation of transcription factors for anti-apoptotic genes. Excitotoxicity due to glutamate occurs as part of the ischemic cascade and is associated with stroke and diseases like amyotrophic lateral sclerosis, lathyrism, and Alzheimer's disease. Glutamic acid has been implicated in epileptic seizures. Microinjection of glutamic acid into neurons produces spontaneous depolarization around one second apart, and this firing pattern is similar to what is known as paroxysmal depolarizing shift in epileptic attacks. This change in the resting membrane potential at seizure foci could cause spontaneous opening of voltage activated calcium channels, leading to glutamic acid release and further depolarization (http://en.wikipedia.org/wiki/Glutamic_acid). Glutamate was discovered in 1866 when it was extracted from wheat gluten (from where it got its name. Glutamate has an important role as a food additive and food flavoring agent. In 1908, Japanese researcher Kikunae Ikeda identified brown crystals left behind after the evaporation of a large amount of kombu broth (a Japanese soup) as glutamic acid. These crystals, when tasted, reproduced a salty, savory flavor detected in many foods, most especially in seaweed. Professor Ikeda termed this flavor umami. He then patented a method of mass-producing a crystalline salt of glutamic acid, monosodium glutamate.",C5H9NO4,147.1293,147.053157781,(2S)-2-aminopentanedioic acid,L-glutamic acid,56-86-0,N[C@@H](CCC(O)=O)C(O)=O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,Solid,,DB00142,FDB012535,33032.0,,16015.0,,C00001358,C00025,GLT,,L-Glutamic_Acid,,GLU_L,," Horner, L.; Gross, A. Tertiary phosphines. IV. Use of phosphine imines in causing the introduction of primary amino groups. Liebigs Ann. Chem. (1955), 591 117-34.",HMDB0000148
